datetime,temperature,humidity,pressure,weather
2024-08-10 11:15:01,26.43,49,1018,clear sky
2024-08-10 11:30:01,26.28,50,1018,clear sky
2024-08-10 11:45:02,25.95,51,1018,clear sky
2024-08-10 12:00:01,25.87,51,1018,clear sky
2024-08-10 12:15:02,25.32,51,1018,clear sky
2024-08-10 12:30:01,25.01,52,1018,clear sky
2024-08-10 12:45:02,24.82,53,1018,clear sky
2024-08-10 13:00:01,24.75,54,1018,clear sky
2024-08-10 13:15:01,24.13,55,1018,clear sky
2024-08-10 13:30:02,24.26,56,1018,clear sky
2024-08-10 13:45:01,23.38,58,1019,clear sky
2024-08-10 14:00:02,23.28,59,1019,clear sky
2024-08-10 14:15:01,22.86,61,1019,clear sky
2024-08-10 14:30:02,22.67,62,1019,clear sky
2024-08-10 14:45:01,22.32,64,1019,clear sky
2024-08-10 15:00:01,22.13,65,1019,clear sky
2024-08-10 15:15:01,21.78,66,1019,clear sky
2024-08-10 15:30:01,21.77,66,1019,clear sky
2024-08-10 15:45:02,21.71,66,1019,clear sky
2024-08-10 16:00:01,21.25,68,1019,clear sky
2024-08-10 16:15:02,21.31,68,1019,clear sky
2024-08-10 16:30:01,21.52,68,1019,clear sky
2024-08-10 16:45:02,21.22,67,1019,clear sky
2024-08-10 17:00:01,21.04,70,1019,clear sky
2024-08-10 17:15:02,20.8,70,1019,clear sky
2024-08-10 21:15:01,19.97,74,1020,clear sky
2024-08-10 21:30:02,19.97,75,1020,clear sky
2024-08-10 21:45:01,19.67,75,1020,clear sky
2024-08-10 22:00:01,19.67,75,1020,clear sky
2024-08-10 22:15:01,19.49,76,1020,clear sky
2024-08-10 22:30:01,19.76,76,1020,clear sky
2024-08-10 22:45:02,19.58,75,1020,clear sky
2024-08-10 23:00:01,19.48,75,1020,clear sky
2024-08-10 23:15:02,19.4,75,1020,overcast clouds
2024-08-10 23:30:01,19.36,75,1020,overcast clouds
2024-08-10 23:45:01,19.25,75,1021,overcast clouds
2024-08-11 00:00:02,19.1,76,1021,overcast clouds
2024-08-11 00:15:01,18.91,75,1021,overcast clouds
2024-08-11 14:15:02,22.15,59,1020,clear sky
2024-08-11 14:30:01,21.67,61,1020,clear sky
2024-08-11 14:45:01,21.03,63,1020,clear sky
2024-08-11 18:30:02,16.97,80,1020,clear sky
2024-08-11 18:45:01,17.23,79,1020,clear sky
2024-08-11 19:00:01,17.07,80,1020,clear sky
2024-08-11 19:15:03,17,79,1020,clear sky
2024-08-11 20:15:01,15.48,84,1019,clear sky
2024-08-12 23:00:02,16.06,79,1014,clear sky
2024-08-12 23:15:01,16.06,79,1014,clear sky
2024-08-13 09:30:02,30.12,36,1012,clear sky
2024-08-13 09:45:01,30.14,35,1012,clear sky
2024-08-13 10:00:02,30,35,1012,clear sky
2024-08-13 10:15:02,29.92,36,1012,clear sky
2024-08-13 10:30:02,30.09,36,1012,clear sky
2024-08-13 10:45:02,29.29,36,1012,clear sky
2024-08-13 11:30:01,29.54,34,1012,clear sky
2024-08-13 12:30:02,28.49,37,1011,clear sky
2024-08-13 12:45:02,27.9,39,1012,clear sky
2024-08-13 13:00:02,28.09,41,1012,clear sky
2024-08-13 15:45:02,23.54,47,1012,clear sky
2024-08-13 16:00:01,23.51,47,1012,clear sky
2024-08-13 16:15:01,23.23,46,1012,clear sky
2024-08-13 21:30:02,19.51,55,1012,broken clouds
2024-08-13 21:45:01,19.56,56,1012,broken clouds
2024-08-13 22:00:02,19.53,56,1012,broken clouds
2024-08-13 22:15:01,19.07,61,1012,clear sky
2024-08-13 22:30:04,19.15,58,1012,clear sky
2024-08-13 22:45:02,18.72,58,1012,clear sky
2024-08-13 23:00:01,18.54,59,1012,clear sky
2024-08-13 23:15:02,18.52,60,1012,overcast clouds
