datetime,temperature,humidity,pressure,weather
2024-08-13 12:30:02,28.49,37,1011,clear sky
2024-08-13 12:45:02,27.9,39,1012,clear sky
2024-08-13 13:00:02,28.09,41,1012,clear sky
2024-08-13 15:45:02,23.54,47,1012,clear sky
2024-08-13 16:00:01,23.51,47,1012,clear sky
2024-08-13 16:15:01,23.23,46,1012,clear sky
2024-08-13 21:30:02,19.51,55,1012,broken clouds
2024-08-13 21:45:01,19.56,56,1012,broken clouds
2024-08-13 22:00:02,19.53,56,1012,broken clouds
2024-08-13 22:15:01,19.07,61,1012,clear sky
2024-08-13 22:30:04,19.15,58,1012,clear sky
2024-08-13 22:45:02,18.72,58,1012,clear sky
2024-08-13 23:00:01,18.54,59,1012,clear sky
